subject_id,video_id,Week,Date,Time,date_inferred,Notes,License,Blackout Portions,Original_Drive_Path,Processed_Drive_Path
00400001,GX010029_1,07/03/2023-07/09/2023,07/06/2023,7:37 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX010029_1.MP4,00400001_GX010029_1_07.03.2023-07.09.2023_07.06.2023-7:37am.MP4
00400001,GX010029,07/03/2023-07/09/2023,07/04/2023,11:18 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX010029.MP4,00400001_GX010029_07.03.2023-07.09.2023_07.04.2023-11:18am.MP4
00400001,GX010030,07/03/2023-07/09/2023,07/08/2023,10:00 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX010030.MP4,00400001_GX010030_07.03.2023-07.09.2023_07.08.2023-10:00am.MP4
00400001,GX010034,07/03/2023-07/09/2023,07/09/2023,10:30 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX010034.MP4,00400001_GX010034_07.03.2023-07.09.2023_07.09.2023-10:30am.MP4
00400001,GX020027,07/03/2023-07/09/2023,07/03/2023,NA,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX020027.MP4,00400001_GX020027_07.03.2023-07.09.2023_07.03.2023-NA.MP4
00400001,GX020029_1,07/03/2023-07/09/2023,07/06/2023,7:37 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX020029_1.MP4,00400001_GX020029_1_07.03.2023-07.09.2023_07.06.2023-7:37am.MP4
00400001,GX020029,07/03/2023-07/09/2023,07/04/2023,11:18 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX020029.MP4,00400001_GX020029_07.03.2023-07.09.2023_07.04.2023-11:18am.MP4
00400001,GX020030,07/03/2023-07/09/2023,07/08/2023,10:00 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX020030.MP4,00400001_GX020030_07.03.2023-07.09.2023_07.08.2023-10:00am.MP4
00400001,GX020034,07/03/2023-07/09/2023,07/09/2023,10:30 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX020034.MP4,00400001_GX020034_07.03.2023-07.09.2023_07.09.2023-10:30am.MP4
00400001,GX030027,07/03/2023-07/09/2023,07/03/2023,NA,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX030027.MP4,00400001_GX030027_07.03.2023-07.09.2023_07.03.2023-NA.MP4
00400001,GX030029_1,07/03/2023-07/09/2023,07/06/2023,7:37 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX030029_1.MP4,00400001_GX030029_1_07.03.2023-07.09.2023_07.06.2023-7:37am.MP4
00400001,GX030029,07/03/2023-07/09/2023,07/04/2023,11:18 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX030029.MP4,00400001_GX030029_07.03.2023-07.09.2023_07.04.2023-11:18am.MP4
00400001,GX030030,07/03/2023-07/09/2023,07/08/2023,10:00 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX030030.MP4,00400001_GX030030_07.03.2023-07.09.2023_07.08.2023-10:00am.MP4
00400001,GX040027,07/03/2023-07/09/2023,07/03/2023,NA,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX040027.MP4,00400001_GX040027_07.03.2023-07.09.2023_07.03.2023-NA.MP4
00400001,GX040030,07/03/2023-07/09/2023,07/08/2023,10:00 am,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX040030.MP4,00400001_GX040030_07.03.2023-07.09.2023_07.08.2023-10:00am.MP4
00400001,GX050027,07/03/2023-07/09/2023,07/03/2023,NA,,,,,BabyView_Main/00400001/By_Date/07/03/2023-07/09/2023/GX050027.MP4,00400001_GX050027_07.03.2023-07.09.2023_07.03.2023-NA.MP4
00400001,GX010035,07/10/2023-07/16/2023,07/11/2023,5:50 pm,,,,,BabyView_Main/00400001/By_Date/07/10/2023-07/16/2023/GX010035.MP4,00400001_GX010035_07.10.2023-07.16.2023_07.11.2023-5:50pm.MP4
00400001,GX020035,07/10/2023-07/16/2023,07/11/2023,5:50 pm,,,,,BabyView_Main/00400001/By_Date/07/10/2023-07/16/2023/GX020035.MP4,00400001_GX020035_07.10.2023-07.16.2023_07.11.2023-5:50pm.MP4
00400001,GX040035,07/10/2023-07/16/2023,07/11/2023,5:50 pm,,,,,BabyView_Main/00400001/By_Date/07/10/2023-07/16/2023/GX040035.MP4,00400001_GX040035_07.10.2023-07.16.2023_07.11.2023-5:50pm.MP4
00400001,GX050035,07/10/2023-07/16/2023,07/11/2023,5:50 pm,,,,,BabyView_Main/00400001/By_Date/07/10/2023-07/16/2023/GX050035.MP4,00400001_GX050035_07.10.2023-07.16.2023_07.11.2023-5:50pm.MP4
00400001,GX010038,07/17/2023-07/23/2023,07/18/2023,7:53 am,,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX010038.MP4,00400001_GX010038_07.17.2023-07.23.2023_07.18.2023-7:53am.MP4
00400001,GX020038,07/17/2023-07/23/2023,07/18/2023,7:53 am,,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX020038.MP4,00400001_GX020038_07.17.2023-07.23.2023_07.18.2023-7:53am.MP4
00400001,GX030038,07/17/2023-07/23/2023,07/18/2023,7:53 am,,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX030038.MP4,00400001_GX030038_07.17.2023-07.23.2023_07.18.2023-7:53am.MP4
00400001,GX040038,07/17/2023-07/23/2023,07/18/2023,7:53 am,,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX040038.MP4,00400001_GX040038_07.17.2023-07.23.2023_07.18.2023-7:53am.MP4
00400001,GX010039,07/17/2023-07/23/2023,07/19/2023,NA,yes,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX010039.MP4,00400001_GX010039_07.17.2023-07.23.2023_07.19.2023-NA.MP4
00400001,GX020039,07/17/2023-07/23/2023,07/19/2023,NA,yes,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX020039.MP4,00400001_GX020039_07.17.2023-07.23.2023_07.19.2023-NA.MP4
00400001,GX030039,07/17/2023-07/23/2023,07/19/2023,NA,yes,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX030039.MP4,00400001_GX030039_07.17.2023-07.23.2023_07.19.2023-NA.MP4
00400001,GX040039,07/17/2023-07/23/2023,07/19/2023,NA,yes,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX040039.MP4,00400001_GX040039_07.17.2023-07.23.2023_07.19.2023-NA.MP4
00400001,GX010040,07/17/2023-07/23/2023,07/20/2023,NA,yes,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX010040.MP4,00400001_GX010040_07.17.2023-07.23.2023_07.20.2023-NA.MP4
00400001,GX020040,07/17/2023-07/23/2023,07/20/2023,NA,yes,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX020040.MP4,00400001_GX020040_07.17.2023-07.23.2023_07.20.2023-NA.MP4
00400001,GX030040,07/17/2023-07/23/2023,07/20/2023,NA,yes,,,,BabyView_Main/00400001/By_Date/07/17/2023-07/23/2023/GX030040.MP4,00400001_GX030040_07.17.2023-07.23.2023_07.20.2023-NA.MP4
00400001,GX010041,07/31/2023-08/06/2023,08/01/2023,8:20 am,,,,,BabyView_Main/00400001/By_Date/07/31/2023-08/06/2023/GX010041.MP4,00400001_GX010041_07.31.2023-08.06.2023_08.01.2023-8:20am.MP4
00400001,GX010042,07/31/2023-08/06/2023,08/01/2023,6:15  pm,,,,,BabyView_Main/00400001/By_Date/07/31/2023-08/06/2023/GX010042.MP4,00400001_GX010042_07.31.2023-08.06.2023_08.01.2023-6:15pm.MP4
00400001,GX010043,07/31/2023-08/06/2023,08/03/2023,6:33  pm,,,,,BabyView_Main/00400001/By_Date/07/31/2023-08/06/2023/GX010043.MP4,00400001_GX010043_07.31.2023-08.06.2023_08.03.2023-6:33pm.MP4
