File_Path,Highligh_Exist?,Highlight_Info
/BabyView_Main/00820001/00820001_GX010078_04.15.2024-04.21.2024_03.24.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX020078_04.15.2024-04.21.2024_03.24.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX030078_04.15.2024-04.21.2024_NA-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX040078_04.15.2024-04.21.2024_04.21.2024-5:48pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010079_04.15.2024-04.21.2024_04.09.2024-NA.zip,No,NA
/BabyView_Main/00820001/00820001_GX010080_04.15.2024-04.21.2024_04.21.2024-5:41pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX020080_04.15.2024-04.21.2024_04.21.2024-5:41pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX030080_04.15.2024-04.21.2024_04.21.2024-5:41pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX040080_04.15.2024-04.21.2024_04.21.2024-5:41pm.zip,No,NA
/BabyView_Main/00820001/00820001_GX010081_04.15.2024-04.21.2024_04.21.2024-5:41pm.zip,No,NA
/BabyView_Main/00270001/00270001_GX040035_02.27.2023-03.05.2023_2023-03-04-19:54:50.zip,No,NA
/BabyView_Main/00270001/00270001_GX010036_02.27.2023-03.05.2023_2023-03-04-19:48:00.zip,No,NA
/BabyView_Main/00270001/00270001_GX020036_02.27.2023-03.05.2023_2023-03-04-19:30:21.zip,No,NA
/BabyView_Main/00270001/00270001_GX030036_02.27.2023-03.05.2023_2023-03-04-19:39:11.zip,No,NA
/BabyView_Main/00270001/00270001_GX040036_02.27.2023-03.05.2023_2023-03-04-19:21:43.zip,No,NA
/BabyView_Main/00270001/00270001_GX050036_02.27.2023-03.05.2023_2023-03-04-19:05:10.zip,No,NA
/BabyView_Main/00270001/00270001_GX010037_02.27.2023-03.05.2023_2023-03-04-19:12:52.zip,No,NA
/BabyView_Main/00270001/00270001_GX020037_02.27.2023-03.05.2023_2023-03-04-19:03:57.zip,No,NA
/BabyView_Main/00270001/00270001_GX010038_02.27.2023-03.05.2023_2023-03-14-01:35:26.zip,No,NA
/BabyView_Main/00270001/00270001_GX020038_02.27.2023-03.05.2023_2023-03-14-01:26:31.zip,No,NA
/BabyView_Main/00270001/00270001_GX030038_02.27.2023-03.05.2023_2023-03-14-01:17:36.zip,No,NA
/BabyView_Main/00270001/00270001_GX040038_02.27.2023-03.05.2023_2023-03-14-01:08:35.zip,No,NA
/BabyView_Main/00270001/00270001_GX010039_03.06.2023-03.12.2023_2023-03-14-01:02:56.zip,No,NA
/BabyView_Main/00270001/00270001_GX020039_03.06.2023-03.12.2023_2023-03-14-00:51:39.zip,No,NA
/BabyView_Main/00350001/00350001_GX020019_11.27.2023-12.03.2023_11.27.2023-NA.zip,No,NA
/BabyView_Main/00350001/00350001_GX030019_11.27.2023-12.03.2023_11.27.2023-NA.zip,No,NA
/BabyView_Main/00350001/00350001_GX020021_11.27.2023-12.03.2023_12.03.2023-NA.zip,No,NA
/BabyView_Main/00350001/00350001_GX020022_11.27.2023-12.03.2023_12.03.2023-NA.zip,No,NA
/BabyView_Main/00350001/00350001_GX010023__2023-12-10-20:59:41.zip,No,NA
/BabyView_Main/00400001/00400001_GX010174_04.22.2024-04.28.2024_04.27.2024-11:14am.zip,No,NA
/BabyView_Main/00400001/00400001_GX020174_04.22.2024-04.28.2024_04.27.2024-11:14am.zip,No,NA
