full_paths,date,duration
/data/yinzi/babyview_20240503/00400001/00400001_GX010130_01.08.2024-01.14.2024_01.13.2024-8:43am.MP4,2024-01-13,896.92
/data/yinzi/babyview_20240503/00400001/00400001_GX030068_09.04.2023-09.10.2023_09.07.2023-9:24am.MP4,2023-09-07,429.36
/data/yinzi/babyview_20240503/00400001/00400001_GX030093_10.16.2023-10.22.2023_10.17.2023-6:10pm.MP4,2023-10-17,768.77
/data/yinzi/babyview_20240503/00400001/00400001_GX010089_1_10.09.2023-10.15.2023_10.09.2023-NA.MP4,2023-10-09,746.68
/data/yinzi/babyview_20240503/00400001/00400001_GX010167_04.15.2024-04.21.2024_03.31.2024-9:20am.MP4,2024-03-31,81.11
/data/yinzi/babyview_20240503/00400001/00400001_GX010171_04.15.2024-04.21.2024_04.21.2024-10:04am.MP4,2024-04-21,704.73
/data/yinzi/babyview_20240503/00400001/00400001_GX020021_06.19.2023-06.25.2023_06.19.2023-6:23pm.MP4,2023-06-19,1089.11
/data/yinzi/babyview_20240503/00400001/00400001_GX010106_11.06.2023-11.12.2023_11.09.2023-4:00pm.MP4,2023-11-09,711.98
/data/yinzi/babyview_20240503/00400001/00400001_GX010048_08.07.2023-08.13.2023_-NA.MP4,2023-08-07,546.88
/data/yinzi/babyview_20240503/00400001/00400001_GX010064_08.28.2023-09.03.2023_09.03.2023-8:22am.MP4,2023-09-03,1025.02
/data/yinzi/babyview_20240503/00400001/00400001_GX030110_11.13.2023-11.19.2023_11.15.2023-NA.MP4,2023-11-15,303.2
/data/yinzi/babyview_20240503/00400001/00400001_GX020024_1_06.26.2023-07.02.2023_06.27.2023-6:00pm.MP4,2023-06-27,896.92
/data/yinzi/babyview_20240503/00400001/00400001_GX040027_07.03.2023-07.09.2023_07.03.2023-NA.MP4,2023-07-03,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX020013_06.12.2023-06.18.2023_06.12.2023-8:00am.MP4,2023-06-12,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX020084_10.02.2023-10.08.2023_10.06.2023-8:03am.MP4,2023-10-06,832.83
/data/yinzi/babyview_20240503/00400001/00400001_GX020042_07.31.2023-08.06.2023_08.01.2023-6:15pm.MP4,2023-08-01,205.87
/data/yinzi/babyview_20240503/00400001/00400001_GX020022_06.19.2023-06.25.2023_06.20.2023-7:16am.MP4,2023-06-20,896.92
/data/yinzi/babyview_20240503/00400001/00400001_GX010013_06.12.2023-06.18.2023_06.12.2023-8:00am.MP4,2023-06-12,832.85
/data/yinzi/babyview_20240503/00400001/00400001_GX010127_01.01.2024-01.07.2024_2024-01-09-00:40:32.MP4,2024-01-09,832.85
/data/yinzi/babyview_20240503/00400001/00400001_GX010144_02.12.2024-02.18.2024_02.18.2024-8:55am.MP4,2024-02-18,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX020056_08.21.2023-08.27.2023_08.24.2023-7:08am.MP4,2023-08-24,768.77
/data/yinzi/babyview_20240503/00400001/00400001_GX020063_08.28.2023-09.03.2023_09.02.2023-9:36am.MP4,2023-09-02,768.77
/data/yinzi/babyview_20240503/00400001/00400001_GX020117_12.11.2023-12.17.2023_12.16.2023-8:34am.MP4,2023-12-16,704.73
/data/yinzi/babyview_20240503/00400001/00400001_GX030132_01.15.2024-01.21.2024_01.15.2024-8:30am.MP4,2024-01-15,704.73
/data/yinzi/babyview_20240503/00400001/00400001_GX010101_10.30.2023-11.05.2023_11.02.2023-6:17pm.MP4,2023-11-02,676.81
/data/yinzi/babyview_20240503/00400001/00400001_GX040063_08.28.2023-09.03.2023_09.02.2023-9:36am.MP4,2023-09-02,621.56
/data/yinzi/babyview_20240503/00400001/00400001_GX010062_08.28.2023-09.03.2023_NA-NA.MP4,2023-08-28,55.52
/data/yinzi/babyview_20240503/00400001/00400001_GX030014_06.12.2023-06.18.2023_06.14.2023-8:00am.MP4,2023-06-14,960.98
/data/yinzi/babyview_20240503/00400001/00400001_GX010078_09.25.2023-10.01.2023_09.29.2023-7:58am.MP4,2023-09-29,960.96
/data/yinzi/babyview_20240503/00400001/00400001_GX010024_06.26.2023-07.02.2023_06.26.2023-5:21pm.MP4,2023-06-26,832.85
/data/yinzi/babyview_20240503/00400001/00400001_GX020136_01.22.2024-01.28.2024_01.28.2024-6:45pm.MP4,2024-01-28,64.03
/data/yinzi/babyview_20240503/00400001/00400001_GX010149_02.19.2024-02.25.2024_02.21.2024-6:10pm.MP4,2024-02-21,492.66
/data/yinzi/babyview_20240503/00400001/00400001_GX010133_01.15.2024-01.21.2024_01.16.2024-NA.MP4,2024-01-16,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX010087_10.02.2023-10.08.2023_NA-NA.MP4,2023-10-02,5.21
/data/yinzi/babyview_20240503/00400001/00400001_GX030027_07.03.2023-07.09.2023_07.03.2023-NA.MP4,2023-07-03,960.98
/data/yinzi/babyview_20240503/00400001/00400001_GX010089_2_10.09.2023-10.15.2023_10.10.2023-6:16pm.MP4,2023-10-10,1025.02
/data/yinzi/babyview_20240503/00400001/00400001_GX010023_06.19.2023-06.25.2023_06.21.2023-5:29pm.MP4,2023-06-21,896.92
/data/yinzi/babyview_20240503/00400001/00400001_GX030024_1_06.26.2023-07.02.2023_06.27.2023-6:00pm.MP4,2023-06-27,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX030111_11.13.2023-11.19.2023_11.18.2023-10:23am.MP4,2023-11-18,91.99
/data/yinzi/babyview_20240503/00400001/00400001_GX010074_09.17.2023-09.24.2023_09.23.2023-NA.MP4,2023-09-23,832.83
/data/yinzi/babyview_20240503/00400001/00400001_GX030023_06.19.2023-06.25.2023_06.21.2023-5:29pm.MP4,2023-06-21,666.54
/data/yinzi/babyview_20240503/00400001/00400001_GX030078_09.25.2023-10.01.2023_09.29.2023-7:58am.MP4,2023-09-29,422.06
/data/yinzi/babyview_20240503/00400001/00400001_GX030166_03.25.2024-03.31.2024_03.17.2024-6:52pm.MP4,2024-03-17,342.58
/data/yinzi/babyview_20240503/00400001/00400001_GX010040_07.17.2023-07.23.2023_07.20.2023-NA.MP4,2023-07-20,768.79
/data/yinzi/babyview_20240503/00400001/00400001_GX020110_11.13.2023-11.19.2023_11.15.2023-NA.MP4,2023-11-15,896.9
/data/yinzi/babyview_20240503/00400001/00400001_GX010090_2_10.09.2023-10.15.2023_10.11.2023-8:51am.MP4,2023-10-11,896.9
/data/yinzi/babyview_20240503/00400001/00400001_GX030064_09.04.2023-09.10.2023_09.03.2023-8:22am.MP4,2023-09-03,832.83
/data/yinzi/babyview_20240503/00400001/00400001_GX010070_09.11.2023-09.17.2023_09.12.2023-6:57pm.MP4,2023-09-12,896.9
/data/yinzi/babyview_20240503/00400001/00400001_GX020171_04.15.2024-04.21.2024_04.21.2024-10:04am.MP4,2024-04-21,813.36
